Operator,lke
env,Warm
Toy_TPC,PCB_Based
Note,"Bottom_HWDB=https://dbweb0.fnal.gov/cdbdev/view/component/D08100400001-00063,Bottom_CE=VD-0000,Bottom_Cover=0000,Bottom_FEMB=BNL_FEMB_IO-1865-1J_00094,Top_HWDB=EMPTY,Top_CE=EMPTY,Top_Cover=EMPTY,Top_FEMB=EMPTY"
FEMB ID,{'femb0': 'BNL_FEMB_IO-1865-1J_00094'}
pedmax,"[1234, 1000, 941, 953, 966, 994, 1007, 979, 1226, 930, 1017, 974, 972, 1039, 891, 949, 1056, 874, 946, 902, 926, 907, 856, 819, 970, 877, 915, 881, 816, 921, 844, 850, 1086, 750, 900, 877, 894, 956, 842, 976, 1138, 874, 828, 920, 934, 983, 877, 929, 1124, 944, 1055, 1071, 991, 1041, 1051, 1009, 1104, 869, 968, 1065, 866, 918, 953, 1008, 1171, 1091, 1086, 1000, 1109, 1073, 932, 1066, 1347, 1027, 1089, 1171, 1148, 1047, 1038, 1102, 1033, 989, 969, 902, 906, 934, 834, 1105, 1282, 1068, 1123, 1130, 1131, 1146, 1043, 1080, 1162, 1150, 1163, 1143, 1180, 1147, 1061, 1143, 1279, 1015, 1166, 1068, 1137, 1258, 1095, 1180, 1145, 908, 922, 986, 983, 962, 891, 1084, 1123, 981, 946, 950, 1018, 975, 1002, 941]"
pedmin,"[1070, 827, 764, 778, 788, 808, 841, 814, 1052, 770, 842, 792, 816, 862, 727, 753, 882, 704, 767, 718, 733, 727, 680, 651, 800, 714, 737, 712, 648, 741, 639, 640, 893, 541, 712, 689, 693, 737, 669, 778, 975, 691, 648, 743, 734, 806, 678, 761, 957, 781, 908, 902, 833, 865, 875, 832, 943, 687, 787, 891, 709, 736, 741, 826, 1014, 926, 911, 841, 927, 908, 771, 898, 1151, 860, 912, 1008, 965, 862, 843, 934, 883, 797, 778, 709, 747, 768, 687, 899, 1110, 885, 938, 960, 921, 976, 879, 902, 1001, 985, 1005, 988, 990, 991, 890, 950, 1116, 859, 1010, 892, 945, 1069, 933, 1001, 974, 749, 741, 806, 804, 810, 739, 919, 966, 833, 768, 785, 843, 824, 846, 761]"
name,"['BIAS', 'LArASIC', 'ColdDATA', 'ColdADC']"
V_set/V,"['5.000', '3.000', '3.000', '3.500']"
V_meas/V,"['5.0', '2.925', '2.955', '3.421']"
I_meas/A,"['0.0', '0.43', '0.223', '1.495']"
P_meas/W,"['0.0', '1.258', '0.659', '5.114']"
Total Power,"['7.031', '', '', '']"
CDVDDA,1189
CDVDDIO_HALF,2228
ADCRVDDD1P2,1097
ADCLVDDD1P2,1095
FERVDDP,1787
FELVDDP,1793
ADCRP25V_1_HALF,2243
ADCLP25V_1_HALF,2243
ADCRP25V_HALF,2244
ADCLP25V_HALF,2243
GND,15
Result,True
PPK_mean,"[12817.0, 12877.0, 12841.0, 12886.0, 12856.0, 12896.0, 12899.0, 12863.0, 12819.0, 12820.0, 12921.0, 12862.0, 12877.0, 12944.0, 12760.0, 12784.0, 12837.0, 12895.0, 12983.0, 12921.0, 12946.0, 12930.0, 12890.0, 12887.0, 12737.0, 12864.0, 12954.0, 12874.0, 12814.0, 12909.0, 12804.0, 12807.0, 12778.0, 12677.0, 12942.0, 12866.0, 12830.0, 12901.0, 12819.0, 12929.0, 12908.0, 12846.0, 12830.0, 12887.0, 12849.0, 12921.0, 12768.0, 12789.0, 12773.0, 12850.0, 12989.0, 12991.0, 12960.0, 12927.0, 12935.0, 12934.0, 12673.0, 12728.0, 12877.0, 12945.0, 12765.0, 12828.0, 12776.0, 12872.0, 12801.0, 12976.0, 12935.0, 12866.0, 12991.0, 12939.0, 12796.0, 12920.0, 12894.0, 12882.0, 12974.0, 12975.0, 12997.0, 12845.0, 12862.0, 12920.0, 12681.0, 12984.0, 12914.0, 12869.0, 12906.0, 12874.0, 12787.0, 13008.0, 12859.0, 12920.0, 12965.0, 13011.0, 12988.0, 12973.0, 12884.0, 12853.0, 12738.0, 12962.0, 12987.0, 12956.0, 13007.0, 12971.0, 12901.0, 13006.0, 12798.0, 12813.0, 12935.0, 12855.0, 12880.0, 13032.0, 12874.0, 12927.0, 12738.0, 12840.0, 12862.0, 12918.0, 12875.0, 12879.0, 12777.0, 12975.0, 12783.0, 12876.0, 12921.0, 12917.0, 12906.0, 12875.0, 12909.0, 12796.0]"
PPK_max,"[12817, 12877, 12841, 12886, 12856, 12896, 12899, 12863, 12819, 12820, 12921, 12862, 12877, 12944, 12760, 12784, 12837, 12895, 12983, 12921, 12946, 12930, 12890, 12887, 12737, 12864, 12954, 12874, 12814, 12909, 12804, 12807, 12778, 12677, 12942, 12866, 12830, 12901, 12819, 12929, 12908, 12846, 12830, 12887, 12849, 12921, 12768, 12789, 12773, 12850, 12989, 12991, 12960, 12927, 12935, 12934, 12673, 12728, 12877, 12945, 12765, 12828, 12776, 12872, 12801, 12976, 12935, 12866, 12991, 12939, 12796, 12920, 12894, 12882, 12974, 12975, 12997, 12845, 12862, 12920, 12681, 12984, 12914, 12869, 12906, 12874, 12787, 13008, 12859, 12920, 12965, 13011, 12988, 12973, 12884, 12853, 12738, 12962, 12987, 12956, 13007, 12971, 12901, 13006, 12798, 12813, 12935, 12855, 12880, 13032, 12874, 12927, 12738, 12840, 12862, 12918, 12875, 12879, 12777, 12975, 12783, 12876, 12921, 12917, 12906, 12875, 12909, 12796]"
PPK_min,"[12817, 12877, 12841, 12886, 12856, 12896, 12899, 12863, 12819, 12820, 12921, 12862, 12877, 12944, 12760, 12784, 12837, 12895, 12983, 12921, 12946, 12930, 12890, 12887, 12737, 12864, 12954, 12874, 12814, 12909, 12804, 12807, 12778, 12677, 12942, 12866, 12830, 12901, 12819, 12929, 12908, 12846, 12830, 12887, 12849, 12921, 12768, 12789, 12773, 12850, 12989, 12991, 12960, 12927, 12935, 12934, 12673, 12728, 12877, 12945, 12765, 12828, 12776, 12872, 12801, 12976, 12935, 12866, 12991, 12939, 12796, 12920, 12894, 12882, 12974, 12975, 12997, 12845, 12862, 12920, 12681, 12984, 12914, 12869, 12906, 12874, 12787, 13008, 12859, 12920, 12965, 13011, 12988, 12973, 12884, 12853, 12738, 12962, 12987, 12956, 13007, 12971, 12901, 13006, 12798, 12813, 12935, 12855, 12880, 13032, 12874, 12927, 12738, 12840, 12862, 12918, 12875, 12879, 12777, 12975, 12783, 12876, 12921, 12917, 12906, 12875, 12909, 12796]"
NPK_mean,"[4679.0, 4488.0, 4439.0, 4455.0, 4453.0, 4490.0, 4480.0, 4459.0, 4617.0, 4410.0, 4502.0, 4457.0, 4468.0, 4579.0, 4414.0, 4444.0, 4501.0, 4379.0, 4455.0, 4410.0, 4431.0, 4351.0, 4348.0, 4335.0, 4382.0, 4360.0, 4377.0, 4377.0, 4321.0, 4402.0, 4336.0, 4292.0, 4564.0, 4248.0, 4465.0, 4431.0, 4407.0, 4455.0, 4374.0, 4459.0, 4608.0, 4406.0, 4308.0, 4456.0, 4444.0, 4491.0, 4399.0, 4436.0, 4417.0, 4322.0, 4421.0, 4421.0, 4383.0, 4414.0, 4393.0, 4378.0, 4364.0, 4192.0, 4332.0, 4413.0, 4238.0, 4283.0, 4270.0, 4374.0, 4532.0, 4528.0, 4497.0, 4396.0, 4529.0, 4488.0, 4354.0, 4447.0, 4633.0, 4427.0, 4475.0, 4571.0, 4546.0, 4449.0, 4431.0, 4487.0, 4373.0, 4445.0, 4416.0, 4346.0, 4331.0, 4343.0, 4240.0, 4500.0, 4613.0, 4438.0, 4508.0, 4520.0, 4535.0, 4550.0, 4435.0, 4451.0, 4483.0, 4476.0, 4515.0, 4483.0, 4453.0, 4444.0, 4364.0, 4411.0, 4518.0, 4311.0, 4491.0, 4338.0, 4433.0, 4532.0, 4424.0, 4460.0, 4533.0, 4423.0, 4421.0, 4469.0, 4446.0, 4436.0, 4351.0, 4568.0, 4550.0, 4468.0, 4407.0, 4486.0, 4518.0, 4447.0, 4500.0, 4405.0]"
NPK_max,"[4679, 4488, 4439, 4455, 4453, 4490, 4480, 4459, 4617, 4410, 4502, 4457, 4468, 4579, 4414, 4444, 4501, 4379, 4455, 4410, 4431, 4351, 4348, 4335, 4382, 4360, 4377, 4377, 4321, 4402, 4336, 4292, 4564, 4248, 4465, 4431, 4407, 4455, 4374, 4459, 4608, 4406, 4308, 4456, 4444, 4491, 4399, 4436, 4417, 4322, 4421, 4421, 4383, 4414, 4393, 4378, 4364, 4192, 4332, 4413, 4238, 4283, 4270, 4374, 4532, 4528, 4497, 4396, 4529, 4488, 4354, 4447, 4633, 4427, 4475, 4571, 4546, 4449, 4431, 4487, 4373, 4445, 4416, 4346, 4331, 4343, 4240, 4500, 4613, 4438, 4508, 4520, 4535, 4550, 4435, 4451, 4483, 4476, 4515, 4483, 4453, 4444, 4364, 4411, 4518, 4311, 4491, 4338, 4433, 4532, 4424, 4460, 4533, 4423, 4421, 4469, 4446, 4436, 4351, 4568, 4550, 4468, 4407, 4486, 4518, 4447, 4500, 4405]"
